time,temp,ambient light,conduct
2017-02-26 23:12:20,243,11,0
2017-02-26 23:12:21,243,11,0
2017-02-26 23:12:22,243,11,0
2017-02-26 23:12:23,243,11,0
2017-02-26 23:12:24,243,11,0
2017-02-26 23:12:25,243,11,0
2017-02-26 23:12:26,243,11,0
2017-02-26 23:12:27,243,11,0
2017-02-26 23:12:28,243,11,0
2017-02-26 23:12:29,244,11,0
2017-02-26 23:12:30,243,11,0
2017-02-26 23:12:31,244,11,0
2017-02-26 23:12:32,244,11,0
2017-02-26 23:12:33,244,11,0
2017-02-26 23:12:34,244,11,0
2017-02-26 23:12:35,244,11,0
2017-02-26 23:12:36,244,11,0
2017-02-26 23:12:37,244,11,0
2017-02-26 23:12:38,244,11,0
2017-02-26 23:12:39,244,11,0
2017-02-26 23:12:40,244,11,0
2017-02-26 23:12:41,244,11,0
2017-02-26 23:12:42,244,11,0
2017-02-26 23:12:43,244,11,0
2017-02-26 23:12:44,244,11,0
2017-02-26 23:12:45,244,11,0
2017-02-26 23:12:46,244,11,0
2017-02-26 23:12:47,244,11,0
2017-02-26 23:12:48,244,11,0
2017-02-26 23:12:50,244,11,0
2017-02-26 23:12:51,244,11,0
2017-02-26 23:12:52,244,11,0
2017-02-26 23:12:53,244,11,0
2017-02-26 23:12:54,244,11,0
2017-02-26 23:12:55,244,11,0
2017-02-26 23:12:56,244,11,0
2017-02-26 23:12:57,244,13,0
2017-02-26 23:12:58,244,13,0
2017-02-26 23:12:59,244,11,0
2017-02-26 23:13:00,244,11,0
2017-02-26 23:13:01,244,11,0
2017-02-26 23:13:02,244,13,0
2017-02-26 23:13:03,244,11,0
2017-02-26 23:13:04,244,11,0
2017-02-26 23:13:05,244,13,0
2017-02-26 23:13:06,244,13,0
2017-02-26 23:13:07,244,11,0
2017-02-26 23:13:08,244,13,0
2017-02-26 23:13:09,244,11,0
2017-02-26 23:13:10,244,13,0
2017-02-26 23:13:11,244,11,0
2017-02-26 23:13:12,244,11,0
2017-02-26 23:13:13,244,11,0
2017-02-26 23:13:14,244,11,0
2017-02-26 23:13:15,244,11,0
2017-02-26 23:13:16,244,13,0
2017-02-26 23:13:17,244,11,0
2017-02-26 23:13:18,245,11,0
2017-02-26 23:13:19,245,11,0
2017-02-26 23:13:20,245,13,0
2017-02-26 23:13:21,245,11,0
2017-02-26 23:13:22,245,13,0
2017-02-26 23:13:23,245,11,0
2017-02-26 23:13:24,245,11,0
2017-02-26 23:13:26,245,11,0
2017-02-26 23:13:27,244,11,0
2017-02-26 23:13:28,244,13,0
2017-02-26 23:13:29,244,11,0
2017-02-26 23:13:30,244,11,0
2017-02-26 23:13:31,244,13,0
2017-02-26 23:13:32,244,13,0
2017-02-26 23:13:33,244,11,0
2017-02-26 23:13:34,244,11,0
2017-02-26 23:13:35,244,11,0
2017-02-26 23:13:36,244,13,0
2017-02-26 23:13:37,245,13,0
2017-02-26 23:13:38,245,13,0
2017-02-26 23:13:39,245,13,0
2017-02-26 23:13:40,245,13,0
2017-02-26 23:13:41,245,13,0
2017-02-26 23:13:42,245,13,0
2017-02-26 23:13:43,245,13,0
2017-02-26 23:13:44,245,13,0
2017-02-26 23:13:45,245,13,0
2017-02-26 23:13:46,245,13,0
2017-02-26 23:13:47,245,13,0
2017-02-26 23:13:48,244,11,0
2017-02-26 23:13:49,244,13,0
2017-02-26 23:13:50,244,13,0
2017-02-26 23:13:51,244,13,0
2017-02-26 23:13:52,244,11,0
2017-02-26 23:13:53,245,11,0
2017-02-26 23:13:54,245,11,0
2017-02-26 23:13:55,245,11,0
2017-02-26 23:13:56,245,13,0
2017-02-26 23:13:57,245,11,0
2017-02-26 23:13:58,245,11,0
2017-02-26 23:13:59,245,13,0
2017-02-26 23:14:00,245,13,0
2017-02-26 23:14:02,245,13,0
2017-02-26 23:14:03,245,11,0
2017-02-26 23:14:04,245,11,0
2017-02-26 23:14:05,245,11,0
2017-02-26 23:14:06,245,11,0
2017-02-26 23:14:07,244,13,0
2017-02-26 23:14:08,245,11,0
